file_path,label
Dataset\train\angry\Training_12250673.jpg,angry
Dataset\train\angry\Training_12295489.jpg,angry
Dataset\train\angry\Training_12383687.jpg,angry
Dataset\train\angry\Training_12391352.jpg,angry
Dataset\train\angry\Training_12407292.jpg,angry
Dataset\train\angry\Training_12409483.jpg,angry
Dataset\train\angry\Training_12450586.jpg,angry
Dataset\train\angry\Training_12469031.jpg,angry
Dataset\train\angry\Training_12513174.jpg,angry
Dataset\train\angry\Training_12524483.jpg,angry
Dataset\train\angry\Training_12565431.jpg,angry
Dataset\train\angry\Training_12604769.jpg,angry
Dataset\train\angry\Training_12661221.jpg,angry
Dataset\train\angry\Training_12675274.jpg,angry
Dataset\train\angry\Training_12686673.jpg,angry
Dataset\train\angry\Training_12695814.jpg,angry
Dataset\train\angry\Training_12775696.jpg,angry
Dataset\train\angry\Training_12776681.jpg,angry
Dataset\train\angry\Training_12812647.jpg,angry
Dataset\train\angry\Training_12837353.jpg,angry
Dataset\train\angry\Training_12861782.jpg,angry
Dataset\train\angry\Training_12890896.jpg,angry
Dataset\train\angry\Training_1294170.jpg,angry
Dataset\train\angry\Training_12961021.jpg,angry
Dataset\train\angry\Training_12974019.jpg,angry
Dataset\train\angry\Training_13039915.jpg,angry
Dataset\train\angry\Training_13040296.jpg,angry
Dataset\train\angry\Training_13043913.jpg,angry
Dataset\train\angry\Training_13064272.jpg,angry
Dataset\train\angry\Training_13081843.jpg,angry
Dataset\train\angry\Training_13145953.jpg,angry
Dataset\train\angry\Training_13196511.jpg,angry
Dataset\train\angry\Training_13202061.jpg,angry
Dataset\train\angry\Training_13221971.jpg,angry
Dataset\train\angry\Training_13282534.jpg,angry
Dataset\train\angry\Training_1329550.jpg,angry
Dataset\train\angry\Training_13304793.jpg,angry
Dataset\train\angry\Training_13325591.jpg,angry
Dataset\train\angry\Training_13489272.jpg,angry
Dataset\train\angry\Training_13521344.jpg,angry
Dataset\train\angry\Training_13605605.jpg,angry
Dataset\train\angry\Training_13607820.jpg,angry
Dataset\train\angry\Training_13644751.jpg,angry
Dataset\train\angry\Training_13659242.jpg,angry
Dataset\train\angry\Training_13677471.jpg,angry
Dataset\train\angry\Training_13689420.jpg,angry
Dataset\train\angry\Training_13742442.jpg,angry
Dataset\train\angry\Training_13772540.jpg,angry
Dataset\train\angry\Training_13782684.jpg,angry
Dataset\train\angry\Training_13790669.jpg,angry
Dataset\train\angry\Training_13852029.jpg,angry
Dataset\train\angry\Training_13874420.jpg,angry
Dataset\train\angry\Training_13898081.jpg,angry
Dataset\train\angry\Training_13917123.jpg,angry
Dataset\train\angry\Training_13919685.jpg,angry
Dataset\train\angry\Training_13965818.jpg,angry
Dataset\train\angry\Training_13976691.jpg,angry
Dataset\train\angry\Training_13994952.jpg,angry
Dataset\train\angry\Training_13997003.jpg,angry
Dataset\train\angry\Training_14051560.jpg,angry
Dataset\train\angry\Training_14054767.jpg,angry
Dataset\train\angry\Training_14056996.jpg,angry
Dataset\train\angry\Training_1409194.jpg,angry
Dataset\train\angry\Training_14110796.jpg,angry
Dataset\train\angry\Training_14118986.jpg,angry
Dataset\train\angry\Training_14119944.jpg,angry
Dataset\train\angry\Training_14151520.jpg,angry
Dataset\train\angry\Training_14169607.jpg,angry
Dataset\train\angry\Training_14215476.jpg,angry
Dataset\train\angry\Training_14226893.jpg,angry
Dataset\train\angry\Training_14227929.jpg,angry
Dataset\train\angry\Training_1424656.jpg,angry
Dataset\train\angry\Training_14248179.jpg,angry
Dataset\train\angry\Training_14248217.jpg,angry
Dataset\train\angry\Training_1426440.jpg,angry
Dataset\train\angry\Training_14291798.jpg,angry
Dataset\train\angry\Training_14296537.jpg,angry
Dataset\train\angry\Training_143373.jpg,angry
Dataset\train\angry\Training_14340905.jpg,angry
Dataset\train\angry\Training_14342315.jpg,angry
Dataset\train\angry\Training_14383356.jpg,angry
Dataset\train\angry\Training_14399797.jpg,angry
Dataset\train\angry\Training_14417147.jpg,angry
Dataset\train\angry\Training_14485990.jpg,angry
Dataset\train\angry\Training_14503064.jpg,angry
Dataset\train\angry\Training_14519925.jpg,angry
Dataset\train\angry\Training_14525872.jpg,angry
Dataset\train\angry\Training_14530363.jpg,angry
Dataset\train\angry\Training_14532305.jpg,angry
Dataset\train\angry\Training_14566179.jpg,angry
Dataset\train\angry\Training_14570127.jpg,angry
Dataset\train\angry\Training_14588902.jpg,angry
Dataset\train\angry\Training_14619449.jpg,angry
Dataset\train\angry\Training_14621559.jpg,angry
Dataset\train\angry\Training_14636525.jpg,angry
Dataset\train\angry\Training_14641612.jpg,angry
Dataset\train\angry\Training_14690040.jpg,angry
Dataset\train\angry\Training_14692406.jpg,angry
Dataset\train\angry\Training_14713134.jpg,angry
Dataset\train\angry\Training_14754797.jpg,angry
Dataset\train\angry\Training_1477608.jpg,angry
Dataset\train\angry\Training_14776502.jpg,angry
Dataset\train\angry\Training_14820944.jpg,angry
Dataset\train\angry\Training_14823194.jpg,angry
Dataset\train\angry\Training_14830141.jpg,angry
Dataset\train\angry\Training_14848707.jpg,angry
Dataset\train\angry\Training_14849067.jpg,angry
Dataset\train\angry\Training_14869777.jpg,angry
Dataset\train\angry\Training_14883276.jpg,angry
Dataset\train\angry\Training_14909933.jpg,angry
Dataset\train\angry\Training_14918881.jpg,angry
Dataset\train\angry\Training_14954004.jpg,angry
Dataset\train\angry\Training_14976970.jpg,angry
Dataset\train\angry\Training_1500617.jpg,angry
Dataset\train\angry\Training_15058314.jpg,angry
Dataset\train\angry\Training_15081195.jpg,angry
Dataset\train\angry\Training_15108206.jpg,angry
Dataset\train\angry\Training_15127879.jpg,angry
Dataset\train\angry\Training_15150679.jpg,angry
Dataset\train\angry\Training_15197146.jpg,angry
Dataset\train\angry\Training_15272626.jpg,angry
Dataset\train\angry\Training_15311033.jpg,angry
Dataset\train\angry\Training_15337964.jpg,angry
Dataset\train\angry\Training_1534315.jpg,angry
Dataset\train\angry\Training_15343190.jpg,angry
Dataset\train\angry\Training_15351749.jpg,angry
Dataset\train\angry\Training_15361067.jpg,angry
Dataset\train\angry\Training_15429801.jpg,angry
Dataset\train\angry\Training_15433316.jpg,angry
Dataset\train\angry\Training_15458095.jpg,angry
Dataset\train\angry\Training_15462493.jpg,angry
Dataset\train\angry\Training_15466417.jpg,angry
Dataset\train\angry\Training_15469459.jpg,angry
Dataset\train\angry\Training_15483013.jpg,angry
Dataset\train\angry\Training_15484575.jpg,angry
Dataset\train\angry\Training_15496677.jpg,angry
Dataset\train\angry\Training_15498699.jpg,angry
Dataset\train\angry\Training_15512449.jpg,angry
Dataset\train\angry\Training_1553426.jpg,angry
Dataset\train\angry\Training_15570158.jpg,angry
Dataset\train\angry\Training_1559786.jpg,angry
Dataset\train\angry\Training_15651444.jpg,angry
Dataset\train\angry\Training_15653607.jpg,angry
Dataset\train\angry\Training_15671299.jpg,angry
Dataset\train\angry\Training_15693625.jpg,angry
Dataset\train\angry\Training_15729526.jpg,angry
Dataset\train\angry\Training_15752571.jpg,angry
Dataset\train\angry\Training_15784307.jpg,angry
Dataset\train\angry\Training_15794224.jpg,angry
Dataset\train\angry\Training_15799535.jpg,angry
Dataset\train\angry\Training_15812721.jpg,angry
Dataset\train\angry\Training_15848209.jpg,angry
Dataset\train\angry\Training_1589886.jpg,angry
Dataset\train\angry\Training_15933141.jpg,angry
Dataset\train\angry\Training_15990816.jpg,angry
Dataset\train\angry\Training_16024594.jpg,angry
Dataset\train\angry\Training_16052786.jpg,angry
Dataset\train\angry\Training_16057513.jpg,angry
Dataset\train\angry\Training_16084063.jpg,angry
Dataset\train\angry\Training_16124846.jpg,angry
Dataset\train\angry\Training_16148999.jpg,angry
Dataset\train\angry\Training_161824.jpg,angry
Dataset\train\angry\Training_16211575.jpg,angry
Dataset\train\angry\Training_16232328.jpg,angry
Dataset\train\angry\Training_16259740.jpg,angry
Dataset\train\angry\Training_16288109.jpg,angry
Dataset\train\angry\Training_16288280.jpg,angry
Dataset\train\angry\Training_16305966.jpg,angry
Dataset\train\angry\Training_16322300.jpg,angry
Dataset\train\angry\Training_16376025.jpg,angry
Dataset\train\angry\Training_16385944.jpg,angry
Dataset\train\angry\Training_16439151.jpg,angry
Dataset\train\angry\Training_1648016.jpg,angry
Dataset\train\angry\Training_16492100.jpg,angry
Dataset\train\angry\Training_16526420.jpg,angry
Dataset\train\angry\Training_16527960.jpg,angry
Dataset\train\angry\Training_16533492.jpg,angry
Dataset\train\angry\Training_16538275.jpg,angry
Dataset\train\angry\Training_16559108.jpg,angry
Dataset\train\angry\Training_16567582.jpg,angry
Dataset\train\angry\Training_16585392.jpg,angry
Dataset\train\angry\Training_16591786.jpg,angry
Dataset\train\angry\Training_16594897.jpg,angry
Dataset\train\angry\Training_16615632.jpg,angry
Dataset\train\angry\Training_16622790.jpg,angry
Dataset\train\angry\Training_16636429.jpg,angry
Dataset\train\angry\Training_16695193.jpg,angry
Dataset\train\angry\Training_16728602.jpg,angry
Dataset\train\angry\Training_16734586.jpg,angry
Dataset\train\angry\Training_16765414.jpg,angry
Dataset\train\angry\Training_1677103.jpg,angry
Dataset\train\angry\Training_16780637.jpg,angry
Dataset\train\angry\Training_16813100.jpg,angry
Dataset\train\angry\Training_16824041.jpg,angry
Dataset\train\angry\Training_16828779.jpg,angry
Dataset\train\angry\Training_16830053.jpg,angry
Dataset\train\angry\Training_16844918.jpg,angry
Dataset\train\angry\Training_16863168.jpg,angry
Dataset\train\angry\Training_16882248.jpg,angry
Dataset\train\angry\Training_16902014.jpg,angry
Dataset\train\angry\Training_16968141.jpg,angry
Dataset\train\angry\Training_16971260.jpg,angry
Dataset\train\angry\Training_17026096.jpg,angry
Dataset\train\angry\Training_1705134.jpg,angry
Dataset\train\angry\Training_17067471.jpg,angry
Dataset\train\angry\Training_17114283.jpg,angry
Dataset\train\angry\Training_17188430.jpg,angry
Dataset\train\angry\Training_17201713.jpg,angry
Dataset\train\angry\Training_17207698.jpg,angry
Dataset\train\angry\Training_17244297.jpg,angry
Dataset\train\angry\Training_17258244.jpg,angry
Dataset\train\angry\Training_17316378.jpg,angry
Dataset\train\angry\Training_17363681.jpg,angry
Dataset\train\angry\Training_17363830.jpg,angry
Dataset\train\angry\Training_17385604.jpg,angry
Dataset\train\angry\Training_17389803.jpg,angry
Dataset\train\angry\Training_17399121.jpg,angry
Dataset\train\angry\Training_1741870.jpg,angry
Dataset\train\angry\Training_17427197.jpg,angry
Dataset\train\angry\Training_17428065.jpg,angry
Dataset\train\angry\Training_17437121.jpg,angry
Dataset\train\angry\Training_17448768.jpg,angry
Dataset\train\angry\Training_17450738.jpg,angry
Dataset\train\angry\Training_17510075.jpg,angry
Dataset\train\angry\Training_175233.jpg,angry
Dataset\train\angry\Training_17526342.jpg,angry
Dataset\train\angry\Training_17526951.jpg,angry
Dataset\train\angry\Training_17561724.jpg,angry
Dataset\train\angry\Training_17588102.jpg,angry
Dataset\train\angry\Training_17600441.jpg,angry
Dataset\train\angry\Training_17608684.jpg,angry
Dataset\train\angry\Training_17664633.jpg,angry
Dataset\train\angry\Training_17667401.jpg,angry
Dataset\train\angry\Training_17682275.jpg,angry
Dataset\train\angry\Training_17690552.jpg,angry
Dataset\train\angry\Training_17702322.jpg,angry
Dataset\train\angry\Training_17775115.jpg,angry
Dataset\train\angry\Training_17796854.jpg,angry
Dataset\train\angry\Training_1779888.jpg,angry
Dataset\train\angry\Training_17825044.jpg,angry
Dataset\train\angry\Training_178362.jpg,angry
Dataset\train\angry\Training_17861397.jpg,angry
Dataset\train\angry\Training_17869141.jpg,angry
Dataset\train\angry\Training_17871246.jpg,angry
Dataset\train\angry\Training_17871635.jpg,angry
Dataset\train\angry\Training_17902383.jpg,angry
Dataset\train\angry\Training_17907423.jpg,angry
Dataset\train\angry\Training_1791860.jpg,angry
Dataset\train\angry\Training_17946627.jpg,angry
Dataset\train\angry\Training_17977606.jpg,angry
Dataset\train\angry\Training_1797833.jpg,angry
Dataset\train\angry\Training_18012086.jpg,angry
Dataset\train\angry\Training_18058034.jpg,angry
Dataset\train\angry\Training_18096819.jpg,angry
Dataset\train\angry\Training_18101749.jpg,angry
Dataset\train\angry\Training_18152779.jpg,angry
Dataset\train\angry\Training_18167782.jpg,angry
Dataset\train\angry\Training_18174853.jpg,angry
Dataset\train\angry\Training_18200194.jpg,angry
Dataset\train\angry\Training_18219531.jpg,angry
Dataset\train\angry\Training_18270369.jpg,angry
Dataset\train\angry\Training_18384206.jpg,angry
Dataset\train\angry\Training_18403526.jpg,angry
Dataset\train\angry\Training_18424991.jpg,angry
Dataset\train\angry\Training_18437561.jpg,angry
Dataset\train\angry\Training_18460889.jpg,angry
Dataset\train\angry\Training_18468344.jpg,angry
Dataset\train\angry\Training_18473098.jpg,angry
Dataset\train\angry\Training_18498178.jpg,angry
Dataset\train\angry\Training_18529397.jpg,angry
Dataset\train\angry\Training_1854333.jpg,angry
Dataset\train\angry\Training_18579411.jpg,angry
Dataset\train\angry\Training_18615787.jpg,angry
Dataset\train\angry\Training_18622081.jpg,angry
Dataset\train\angry\Training_18633212.jpg,angry
Dataset\train\angry\Training_18649259.jpg,angry
Dataset\train\angry\Training_18679815.jpg,angry
Dataset\train\angry\Training_18687003.jpg,angry
Dataset\train\angry\Training_18688703.jpg,angry
Dataset\train\angry\Training_18699711.jpg,angry
Dataset\train\angry\Training_18714040.jpg,angry
Dataset\train\angry\Training_18766042.jpg,angry
Dataset\train\angry\Training_18769667.jpg,angry
Dataset\train\angry\Training_18775545.jpg,angry
Dataset\train\angry\Training_18793535.jpg,angry
Dataset\train\angry\Training_18806679.jpg,angry
Dataset\train\angry\Training_18818880.jpg,angry
Dataset\train\angry\Training_18829072.jpg,angry
Dataset\train\angry\Training_18833065.jpg,angry
Dataset\train\angry\Training_1886687.jpg,angry
Dataset\train\angry\Training_18873605.jpg,angry
Dataset\train\angry\Training_18888080.jpg,angry
Dataset\train\angry\Training_18894040.jpg,angry
Dataset\train\angry\Training_18926048.jpg,angry
Dataset\train\angry\Training_18966100.jpg,angry
Dataset\train\angry\Training_18972883.jpg,angry
Dataset\train\angry\Training_18995850.jpg,angry
Dataset\train\angry\Training_19037832.jpg,angry
Dataset\train\angry\Training_19060950.jpg,angry
Dataset\train\angry\Training_19103814.jpg,angry
Dataset\train\angry\Training_19104128.jpg,angry
Dataset\train\angry\Training_19153111.jpg,angry
Dataset\train\angry\Training_19214465.jpg,angry
Dataset\train\angry\Training_19226789.jpg,angry
Dataset\train\angry\Training_1924056.jpg,angry
Dataset\train\angry\Training_19259158.jpg,angry
Dataset\train\angry\Training_19280895.jpg,angry
Dataset\train\angry\Training_19282935.jpg,angry
Dataset\train\angry\Training_19295001.jpg,angry
Dataset\train\angry\Training_19316238.jpg,angry
Dataset\train\angry\Training_19321092.jpg,angry
Dataset\train\angry\Training_1934096.jpg,angry
Dataset\train\angry\Training_19345091.jpg,angry
Dataset\train\angry\Training_19370670.jpg,angry
Dataset\train\angry\Training_19401825.jpg,angry
Dataset\train\angry\Training_19418971.jpg,angry
Dataset\train\angry\Training_1942570.jpg,angry
Dataset\train\angry\Training_19426501.jpg,angry
Dataset\train\angry\Training_19429243.jpg,angry
Dataset\train\angry\Training_19436967.jpg,angry
Dataset\train\angry\Training_19437515.jpg,angry
Dataset\train\angry\Training_19503940.jpg,angry
Dataset\train\angry\Training_1951293.jpg,angry
Dataset\train\angry\Training_19521391.jpg,angry
Dataset\train\angry\Training_19565840.jpg,angry
Dataset\train\angry\Training_19568389.jpg,angry
Dataset\train\angry\Training_19573652.jpg,angry
Dataset\train\angry\Training_19578975.jpg,angry
Dataset\train\angry\Training_19595003.jpg,angry
Dataset\train\angry\Training_19605770.jpg,angry
Dataset\train\angry\Training_19633287.jpg,angry
Dataset\train\angry\Training_19643622.jpg,angry
Dataset\train\angry\Training_19662644.jpg,angry
Dataset\train\angry\Training_19687209.jpg,angry
Dataset\train\angry\Training_19726930.jpg,angry
Dataset\train\angry\Training_19756127.jpg,angry
Dataset\train\angry\Training_19760225.jpg,angry
Dataset\train\angry\Training_19778378.jpg,angry
Dataset\train\angry\Training_19843851.jpg,angry
Dataset\train\angry\Training_19848415.jpg,angry
Dataset\train\angry\Training_19855344.jpg,angry
Dataset\train\angry\Training_19874064.jpg,angry
Dataset\train\angry\Training_19879369.jpg,angry
Dataset\train\angry\Training_19903870.jpg,angry
Dataset\train\angry\Training_19917862.jpg,angry
Dataset\train\angry\Training_19970288.jpg,angry
Dataset\train\angry\Training_20006314.jpg,angry
Dataset\train\angry\Training_20030076.jpg,angry
Dataset\train\angry\Training_20058735.jpg,angry
Dataset\train\angry\Training_20106254.jpg,angry
Dataset\train\angry\Training_20132403.jpg,angry
Dataset\train\angry\Training_20186507.jpg,angry
Dataset\train\angry\Training_20261252.jpg,angry
Dataset\train\angry\Training_20262264.jpg,angry
Dataset\train\angry\Training_20272265.jpg,angry
Dataset\train\angry\Training_20311288.jpg,angry
Dataset\train\angry\Training_20317679.jpg,angry
Dataset\train\angry\Training_20325245.jpg,angry
Dataset\train\angry\Training_20326127.jpg,angry
Dataset\train\angry\Training_20343576.jpg,angry
Dataset\train\angry\Training_20374852.jpg,angry
Dataset\train\angry\Training_20376505.jpg,angry
Dataset\train\angry\Training_20388702.jpg,angry
Dataset\train\angry\Training_20398356.jpg,angry
Dataset\train\angry\Training_20436888.jpg,angry
Dataset\train\angry\Training_20445632.jpg,angry
Dataset\train\angry\Training_20463939.jpg,angry
Dataset\train\angry\Training_20501161.jpg,angry
Dataset\train\angry\Training_20531010.jpg,angry
Dataset\train\angry\Training_20556787.jpg,angry
Dataset\train\angry\Training_20583731.jpg,angry
Dataset\train\angry\Training_20614593.jpg,angry
Dataset\train\angry\Training_20614662.jpg,angry
Dataset\train\angry\Training_20628210.jpg,angry
Dataset\train\angry\Training_20628939.jpg,angry
Dataset\train\angry\Training_20643666.jpg,angry
Dataset\train\angry\Training_20650406.jpg,angry
Dataset\train\angry\Training_20661113.jpg,angry
Dataset\train\angry\Training_20666200.jpg,angry
Dataset\train\angry\Training_20682032.jpg,angry
Dataset\train\angry\Training_20688095.jpg,angry
Dataset\train\angry\Training_20735338.jpg,angry
Dataset\train\angry\Training_20748658.jpg,angry
Dataset\train\angry\Training_20807662.jpg,angry
Dataset\train\angry\Training_20815081.jpg,angry
Dataset\train\angry\Training_2081591.jpg,angry
Dataset\train\angry\Training_20822105.jpg,angry
Dataset\train\angry\Training_20825412.jpg,angry
Dataset\train\angry\Training_20835143.jpg,angry
Dataset\train\angry\Training_20841954.jpg,angry
Dataset\train\angry\Training_20870568.jpg,angry
Dataset\train\angry\Training_20916121.jpg,angry
Dataset\train\angry\Training_20940258.jpg,angry
Dataset\train\angry\Training_20946656.jpg,angry
Dataset\train\angry\Training_20952119.jpg,angry
Dataset\train\angry\Training_20968527.jpg,angry
Dataset\train\angry\Training_2097603.jpg,angry
Dataset\train\angry\Training_20990451.jpg,angry
Dataset\train\angry\Training_21002745.jpg,angry
Dataset\train\angry\Training_21023543.jpg,angry
Dataset\train\angry\Training_21078661.jpg,angry
Dataset\train\angry\Training_21096846.jpg,angry
Dataset\train\angry\Training_21111744.jpg,angry
Dataset\train\angry\Training_21134448.jpg,angry
Dataset\train\angry\Training_211850.jpg,angry
Dataset\train\angry\Training_21220561.jpg,angry
Dataset\train\angry\Training_21220586.jpg,angry
Dataset\train\angry\Training_2126195.jpg,angry
Dataset\train\angry\Training_21282633.jpg,angry
Dataset\train\angry\Training_21354738.jpg,angry
Dataset\train\angry\Training_21398238.jpg,angry
Dataset\train\angry\Training_21429456.jpg,angry
Dataset\train\angry\Training_21450179.jpg,angry
Dataset\train\angry\Training_21475578.jpg,angry
Dataset\train\angry\Training_21477157.jpg,angry
Dataset\train\angry\Training_21536509.jpg,angry
Dataset\train\angry\Training_21562334.jpg,angry
Dataset\train\angry\Training_21574245.jpg,angry
Dataset\train\angry\Training_21575060.jpg,angry
Dataset\train\angry\Training_21576940.jpg,angry
Dataset\train\angry\Training_21597213.jpg,angry
Dataset\train\angry\Training_21623038.jpg,angry
Dataset\train\angry\Training_2163965.jpg,angry
Dataset\train\angry\Training_21651222.jpg,angry
Dataset\train\angry\Training_21706252.jpg,angry
Dataset\train\angry\Training_21713736.jpg,angry
Dataset\train\angry\Training_21731792.jpg,angry
Dataset\train\angry\Training_21745537.jpg,angry
Dataset\train\angry\Training_21797426.jpg,angry
Dataset\train\angry\Training_21802873.jpg,angry
Dataset\train\angry\Training_21816646.jpg,angry
Dataset\train\angry\Training_2185049.jpg,angry
Dataset\train\angry\Training_21868258.jpg,angry
Dataset\train\angry\Training_21931435.jpg,angry
Dataset\train\angry\Training_21945057.jpg,angry
Dataset\train\angry\Training_21960342.jpg,angry
Dataset\train\angry\Training_21996602.jpg,angry
Dataset\train\angry\Training_22007903.jpg,angry
Dataset\train\angry\Training_22036377.jpg,angry
Dataset\train\angry\Training_22039397.jpg,angry
Dataset\train\angry\Training_22041473.jpg,angry
Dataset\train\angry\Training_22067086.jpg,angry
Dataset\train\angry\Training_22070624.jpg,angry
Dataset\train\angry\Training_22083557.jpg,angry
Dataset\train\angry\Training_22168288.jpg,angry
Dataset\train\angry\Training_22193935.jpg,angry
Dataset\train\angry\Training_22225769.jpg,angry
Dataset\train\angry\Training_22238469.jpg,angry
Dataset\train\angry\Training_22255187.jpg,angry
Dataset\train\angry\Training_22269387.jpg,angry
Dataset\train\angry\Training_22321432.jpg,angry
Dataset\train\angry\Training_22357760.jpg,angry
Dataset\train\angry\Training_22384775.jpg,angry
Dataset\train\angry\Training_22394449.jpg,angry
Dataset\train\angry\Training_22407840.jpg,angry
Dataset\train\angry\Training_22417394.jpg,angry
Dataset\train\angry\Training_2242737.jpg,angry
Dataset\train\angry\Training_2245342.jpg,angry
Dataset\train\angry\Training_22484444.jpg,angry
Dataset\train\angry\Training_22487256.jpg,angry
Dataset\train\angry\Training_22505433.jpg,angry
Dataset\train\angry\Training_22547261.jpg,angry
Dataset\train\angry\Training_22571639.jpg,angry
Dataset\train\angry\Training_22572626.jpg,angry
Dataset\train\angry\Training_22589544.jpg,angry
Dataset\train\angry\Training_22607108.jpg,angry
Dataset\train\angry\Training_2261453.jpg,angry
Dataset\train\angry\Training_22662478.jpg,angry
Dataset\train\angry\Training_22683743.jpg,angry
Dataset\train\angry\Training_2269690.jpg,angry
Dataset\train\angry\Training_22745962.jpg,angry
Dataset\train\angry\Training_22753838.jpg,angry
Dataset\train\angry\Training_22757878.jpg,angry
Dataset\train\angry\Training_22786311.jpg,angry
Dataset\train\angry\Training_22825924.jpg,angry
Dataset\train\angry\Training_22833016.jpg,angry
Dataset\train\angry\Training_22855971.jpg,angry
Dataset\train\angry\Training_22880710.jpg,angry
Dataset\train\angry\Training_22890433.jpg,angry
Dataset\train\angry\Training_22892509.jpg,angry
Dataset\train\angry\Training_23065708.jpg,angry
Dataset\train\angry\Training_23079807.jpg,angry
Dataset\train\angry\Training_23087152.jpg,angry
Dataset\train\angry\Training_23143124.jpg,angry
Dataset\train\angry\Training_23150659.jpg,angry
Dataset\train\angry\Training_23159017.jpg,angry
Dataset\train\angry\Training_23166676.jpg,angry
Dataset\train\angry\Training_23170842.jpg,angry
Dataset\train\angry\Training_23189533.jpg,angry
Dataset\train\angry\Training_23194876.jpg,angry
Dataset\train\angry\Training_2323777.jpg,angry
Dataset\train\angry\Training_23240301.jpg,angry
